Cycle,LightID,Lux,Motion,Expected,Actual,Brightness,Power,Fault
1,L01,99,NO,OFF,OFF,0,0,NO
1,L02,5,YES,FULL,FULL,100,68,NO
1,L03,50,YES,FULL,FULL,100,68,NO
1,L04,84,NO,OFF,OFF,0,0,NO
1,L05,42,NO,DIM,DIM,40,27,NO
1,L06,99,NO,OFF,OFF,0,0,NO
1,L07,79,NO,OFF,OFF,0,0,NO
1,L08,61,YES,OFF,OFF,0,0,NO
2,L01,23,YES,FULL,FULL,100,68,NO
2,L02,15,YES,FULL,FULL,100,68,NO
2,L03,30,YES,FULL,FULL,100,68,NO
2,L04,16,NO,DIM,DIM,40,27,NO
2,L05,64,NO,OFF,DIM,40,27,YES
2,L06,5,NO,DIM,DIM,40,27,NO
2,L07,79,NO,OFF,OFF,0,0,NO
2,L08,70,NO,OFF,OFF,0,0,NO
3,L01,34,YES,FULL,FULL,100,68,NO
3,L02,18,YES,FULL,OFF,0,0,YES
3,L03,31,NO,DIM,OFF,0,0,YES
3,L04,10,NO,DIM,DIM,40,27,NO
3,L05,20,NO,DIM,DIM,40,27,NO
3,L06,45,YES,FULL,OFF,0,0,YES
3,L07,45,NO,DIM,DIM,40,27,NO
3,L08,35,NO,DIM,DIM,40,27,NO
4,L01,89,NO,OFF,OFF,0,0,NO
4,L02,33,YES,FULL,OFF,0,0,YES
4,L03,97,YES,OFF,DIM,40,27,YES
4,L04,96,YES,OFF,OFF,0,0,NO
4,L05,69,YES,OFF,OFF,0,0,NO
4,L06,28,YES,FULL,OFF,0,0,YES
4,L07,75,NO,OFF,OFF,0,0,NO
4,L08,89,NO,OFF,OFF,0,0,NO
5,L01,58,YES,OFF,OFF,0,0,NO
5,L02,8,YES,FULL,FULL,100,68,NO
5,L03,88,YES,OFF,OFF,0,0,NO
5,L04,56,YES,OFF,OFF,0,0,NO
5,L05,77,NO,OFF,OFF,0,0,NO
5,L06,27,YES,FULL,FULL,100,68,NO
5,L07,14,NO,DIM,DIM,40,27,NO
5,L08,86,NO,OFF,OFF,0,0,NO
Cycle,LightID,Lux,Motion,Expected,Actual,Brightness,Power,Fault
1,L01,19,NO,DIM,DIM,40,27,NO
1,L02,32,YES,FULL,FULL,100,68,NO
1,L03,43,YES,FULL,FULL,100,68,NO
1,L04,16,YES,FULL,FULL,100,68,NO
1,L05,79,NO,OFF,OFF,0,0,NO
1,L06,87,YES,OFF,OFF,0,0,NO
1,L07,18,NO,DIM,DIM,40,27,NO
1,L08,18,NO,DIM,DIM,40,27,NO
2,L01,92,NO,OFF,OFF,0,0,NO
2,L02,20,NO,DIM,DIM,40,27,NO
2,L03,45,YES,FULL,FULL,100,68,NO
2,L04,3,NO,DIM,DIM,40,27,NO
2,L05,60,YES,OFF,OFF,0,0,NO
2,L06,91,NO,OFF,DIM,40,27,YES
2,L07,43,YES,FULL,FULL,100,68,NO
2,L08,58,NO,OFF,OFF,0,0,NO
3,L01,79,YES,OFF,OFF,0,0,NO
3,L02,56,NO,OFF,OFF,0,0,NO
3,L03,64,NO,OFF,OFF,0,0,NO
3,L04,69,NO,OFF,OFF,0,0,NO
3,L05,45,YES,FULL,OFF,0,0,YES
3,L06,51,YES,OFF,OFF,0,0,NO
3,L07,46,YES,FULL,FULL,100,68,NO
3,L08,0,NO,DIM,DIM,40,27,NO
4,L01,100,NO,OFF,OFF,0,0,NO
4,L02,4,YES,FULL,FULL,100,68,NO
4,L03,7,YES,FULL,FULL,100,68,NO
4,L04,45,NO,DIM,OFF,0,0,YES
4,L05,89,NO,OFF,OFF,0,0,NO
4,L06,100,NO,OFF,OFF,0,0,NO
4,L07,36,YES,FULL,FULL,100,68,NO
4,L08,31,NO,DIM,OFF,0,0,YES
5,L01,64,NO,OFF,OFF,0,0,NO
5,L02,45,NO,DIM,DIM,40,27,NO
5,L03,4,NO,DIM,DIM,40,27,NO
5,L04,36,NO,DIM,DIM,40,27,NO
5,L05,69,NO,OFF,OFF,0,0,NO
5,L06,92,NO,OFF,OFF,0,0,NO
5,L07,68,YES,OFF,OFF,0,0,NO
5,L08,47,YES,FULL,FULL,100,68,NO
